date,sp500,momentum,value
2017-01-03,0.8486575281753027,-0.23,0.7
2017-01-04,0.572227384420558,-0.08,0.73
2017-01-05,-0.0770670483320488,-0.31,-0.08
2017-01-06,0.3516959012780991,-0.37,0.36
2017-01-09,-0.3548594221719928,-0.48,-0.13
2017-01-10,0.0,0.61,0.16
2017-01-11,0.2829638272865455,0.71,0.14
2017-01-12,-0.2144809017699879,-0.57,-0.06
2017-01-13,0.1849840607609333,0.22,0.16
2017-01-17,-0.2967502689446588,-1.1,-0.02
2017-01-18,0.1763754057172827,0.34,0.1
2017-01-19,-0.3609308719258403,0.35,-0.22
2017-01-20,0.3366237514239067,0.2,0.43
2017-01-23,-0.269012501212185,-0.05,-0.12
2017-01-24,0.6564593555388054,0.94,0.63
2017-01-25,0.8026090626264211,0.48,0.76
2017-01-26,-0.0735384169633451,0.47,-0.09
2017-01-27,-0.0866464226152309,-0.13,-0.09
2017-01-30,-0.6009543491523057,-0.65,-0.39
2017-01-31,-0.0889905338774362,-0.62,-0.33
2017-02-01,0.029836364737392,0.48,0.34
2017-02-02,0.0570309478649198,-0.34,0.09
2017-02-03,0.726475800164582,0.49,0.45
2017-02-06,-0.2115356863350178,-0.23,-0.15
2017-02-07,0.0226828953927984,-0.23,0.3
2017-02-08,0.0693322494601553,-0.58,0.22
2017-02-09,0.5752546313282066,0.24,0.53
2017-02-10,0.3566050333325363,-0.17,0.32
2017-02-13,0.5245844948796384,0.34,0.51
2017-02-14,0.4007335122946401,0.0,0.41
2017-02-15,0.499230897363938,-0.31,0.57
2017-02-16,-0.0864117909971273,-0.06,-0.09
2017-02-17,0.1678556355466562,-0.45,0.41
2017-02-21,0.6048066287377024,0.08,0.55
2017-02-22,-0.1082200376521768,-0.08,-0.06
2017-02-23,0.0418987045779534,-0.59,-0.24
2017-02-24,0.1493364065593907,-0.52,0.38
2017-02-27,0.1017983014867983,0.05,0.07
2017-02-28,-0.2578376200021087,0.05,-0.36
2017-03-01,1.3673854505382557,1.32,1.15
2017-03-02,-0.5859880477359939,-1.1,-0.41
2017-03-03,0.0503877140837125,0.6,0.08
2017-03-06,-0.3277240599115164,0.05,-0.37
2017-03-07,-0.2913373760945236,0.08,-0.26
2017-03-08,-0.228421554068841,-0.59,0.02
2017-03-09,0.0799895477743456,-0.16,-0.11
2017-03-10,0.3268670420600311,-0.23,0.37
